trace,ipc
charlie_0000.champsim.gz,0.849
charlie_0001.champsim.gz,0.9901
charlie_0002.champsim.gz,0.5743
charlie_0003.champsim.gz,0.7972
charlie_0004.champsim.gz,0.6932
